ItemNumber,ArrayOrder,DatasetArray,5oclock shadow.yes/no,5oclock shadow.% value,age.number,age.% value,arched eyebrows.yes/no,arched eyebrows.% value,attractive.yes/no,attractive.% value,bags under eyes.yes/no,bags under eyes.% value,bald.yes/no,bald.% value,bangs.yes/no,bangs.% value,beard.yes/no,beard.% value,big lips.yes/no,big lips.% value,big nose.yes/no,big nose.% value,black hair.yes/no,black hair.% value,blond hair.yes/no,blond hair.% value,blurry.yes/no,blurry.% value,brown hair.yes/no,brown hair.% value,bushy eyebrows.yes/no,bushy eyebrows.% value,chubby.yes/no,chubby.% value,double chin.yes/no,double chin.% value,expression.expression,expression.% value,gender.male/female,gender.% value,glasses.yes/no,glasses.% value,goatee.yes/no,goatee.% value,gray hair.yes/no,gray hair.% value,heavy makeup.yes/no,heavy makeup.% value,high cheekbones.yes/no,high cheekbones.% value,mouth open.yes/no,mouth open.% value,mustache.yes/no,mustache.% value,narrow eyes.yes/no,narrow eyes.% value,oval face.yes/no,oval face.% value,pale skin.yes/no,pale skin.% value,pitch,pointy nose.yes/no,pointy nose.% value,race,receding hairline.yes/no,receding hairline.% value,rosy cheeks.yes/no,rosy cheeks.% value,sideburns.yes/no,sideburns.% value,straight hair.yes/no,straight hair.% value,wavy hair.yes/no,wavy hair.% value,wearing earrings.yes/no,wearing earrings.% value,wearing hat.yes/no,wearing hat.% value,wearing lipstick.yes/no,wearing lipstick.% value,wearing necklace.yes/no,wearing necklace.% value,wearing necktie.yes/no,wearing necktie.% value,yaw,young.yes/no,young.% value,chin size,color beard.color,color beard.% value,color background.color,color background.% value,color clothes middle.color,color clothes middle.% value,color clothes sides.color,color clothes sides.% value,color eyes.color,color eyes.% value,color hair.color,color hair.% value,color mustache.color,color mustache.% value,color skin.color,color skin.% value,eyebrows corners,eyebrows position,eyebrows size,eyes corners,eyes distance,eyes position,eyes shape,glasses rim,hair beard,hair color type.color,hair color type.% value,hair forehead,hair length,hair mustache,hair sides,hair top,head shape,head width,mouth corners,mouth height,mouth width,nose shape,nose width,teeth visible 
11,4,D1A2,0,999,36,60,0,32,0,27,0,56,0,47,0,999,0,999,0,30,0,28,0,43,0,73,0,52,1,68,0,75,0,30,0,64,smile,23,female,999,0,999,0,999,0,92,0,26,1,32,0,67,0,999,0,999,1,999,0,70,-9.24,0,999,white,1,11,0,72,0,999,1,76,0,94,0,24,0,96,1,25,0,6,0,88,1.95,1,69,extra small,999,999,999,999,694720,13,6d542a,2,3b291c,61,563a1f,68,999,999,a36b4b,999,average,extra low,extra thin,average,extra far,low,extra round,0,none,blond,68,0,very long,none,average,short,extra rect,narrow,average,thin,small,extra straight,average,0
12,5,D1A2,0,90,23,60,1,8,1,61,0,66,0,58,0,67,0,87,0,40,0,73,0,71,0,21,0,999,1,38,0,69,0,91,0,999,smile,91,female,97,0,999,0,78,0,90,1,60,1,78,1,89,0,93,0,85,1,999,0,64,-10.25,0,22,white,0,18,1,13,0,81,1,999,0,999,0,14,0,999,1,89,0,13,0,74,-0.4,1,88,extra large,999,999,999,999,5e432f,8,999,999,2d2018,59,624e33,62,999,999,ab7150,999,low,extra low,extra thin,average,average,extra low,extra round,0,none,blond,62,0,long,none,average,short,heart,narrow,extra raised,extra thick,extra wide,extra straight,wide,1
13,6,D1A2,0,94,23,60,1,18,1,62,0,999,0,65,0,67,0,87,0,21,0,89,0,77,1,88,0,999,0,67,0,62,0,999,0,999,smile,2,female,94,0,999,0,75,0,60,1,50,0,31,1,97,0,84,0,999,1,999,1,13,-9.47,0,16,white,0,22,0,33,0,76,1,89,0,80,0,18,0,999,1,79,0,10,0,77,-0.38,1,97,extra small,999,999,999,999,7c6743,6,78623c,1,331c14,50,775c38,68,999,999,af7653,999,raised,extra low,extra thin,average,far,average,extra round,0,none,blond,68,0,very long,none,average,short,heart,wide,extra raised,extra thick,average,extra straight,extra wide,1
14,GT,D1A2,0,95,15,60,1,11,1,97,0,999,0,76,0,97,0,93,0,22,0,999,0,91,1,999,0,999,0,70,0,71,0,999,0,999,neutral,85,female,92,0,999,0,87,0,72,1,70,0,56,0,89,0,94,0,999,1,85,1,29,-8.85,1,22,white,0,32,0,31,0,89,1,84,0,62,0,51,0,999,1,89,0,22,0,66,0.42,1,999,extra small,999,999,999,999,8f683b,7,999,999,302217,52,7e5e3e,54,999,999,bf8c6f,999,low,extra low,extra thin,average,extra far,low,extra round,0,none,blond,54,0,none,none,thin,short,average,average,raised,average,extra small,extra straight,extra wide,1
15,1,D1A3,0,90,19,60,0,92,0,79,0,72,0,78,1,20,0,999,0,78,0,7,0,80,0,999,1,13,1,999,0,53,1,13,0,1,smile,19,male,19,1,999,0,999,0,42,0,74,1,9,0,98,0,91,0,78,1,66,0,66,-8.51,0,91,white,0,85,0,65,0,999,0,50,1,46,0,59,0,74,0,54,0,36,0,41,0.5,0,47,large,999,999,999,999,c3ad8d,6,f2f9fa,1,6f594a,71,2f1708,95,999,999,b48260,999,average,low,extra thin,average,average,average,extra round,0,none,brown,95,1,very long,none,thick,short,rect,extra narrow,raised,extra thin,average,extra straight,extra wide,0
16,2,D1A3,0,15,25,60,0,41,0,27,0,77,0,82,0,999,0,38,0,53,0,2,0,999,0,78,0,31,1,87,1,16,0,35,0,11,smile,32,male,54,1,999,0,78,0,43,0,86,0,41,1,999,0,60,0,42,1,19,0,54,-9.01,0,5,white,0,38,0,64,0,77,0,999,1,96,0,43,0,91,0,72,0,50,0,28,-1.16,0,7,extra large,999,999,999,999,f5fcfd,5,f7feff,1,999,999,41271b,82,999,999,c27668,999,low,extra low,extra thin,average,close,average,extra round,0,none,brown,82,1,average,none,average,short,extra heart,extra narrow,extra raised,average,extra small,straight,extra wide,1
17,3,D1A3,1,50,29,60,0,53,1,28,1,45,0,87,0,73,1,17,0,31,1,32,0,42,0,95,0,95,1,73,1,47,0,67,0,52,smile,999,male,80,0,999,0,344,0,999,0,999,1,55,1,999,0,36,0,32,1,40,0,70,-10.31,0,45,white,0,64,0,83,0,31,1,49,0,46,0,999,0,999,0,92,0,81,0,10,-0.94,1,70,large,999,999,999,999,1d120e,6,999,999,4b3124,60,322015,88,999,999,ae7a5b,999,kow,high,extra thin,average,average,high,average,0,none,brown,88,0,very long,none,average,short,heart,extra narrow,extra rasied,extra thick,wide,extra straight,extra wide,1
18,4,D1A3,0,89,22,60,0,91,1,16,0,81,0,94,1,88,0,98,0,67,0,79,0,93,0,999,0,84,1,999,0,3,0,73,0,999,neutral,82,female,10,0,999,0,999,0,89,0,59,0,73,0,91,0,98,0,999,1,999,0,19,-9.44,0,60,white,0,999,0,86,0,96,0,7,1,2,0,63,0,91,0,27,0,65,0,60,2.65,1,70,extra large,999,999,999,999,ebe1d5,2,999,999,2f2019,66,2b1405,99,999,999,a77557,999,average,extra low,extra thin,average,average,low,extra round,0,none,brown,99,1,long,none,average,short,extra rect,narrow,low,thin,small,extra straight,narrow,0
19,5,D1A3,0,55,14,60,0,999,0,23,0,77,0,999,1,80,0,82,0,53,0,42,0,47,0,999,0,26,1,73,1,10,0,72,0,91,neutral,51,male,72,0,999,0,999,0,999,0,99,0,81,1,97,0,86,0,49,1,40,0,4,-8.46,0,70,white,0,999,0,999,0,999,0,65,1,65,0,999,0,51,0,93,0,65,0,50,3.04,1,75,average,999,999,999,999,cfb199,14,999,999,39251b,58,180803,92,999,999,a47657,999,average,extra low,extra thin,average,average,average,extra round,0,none,black,92,1,long,none,average,short,average,narrow,average,thck,extra small,extra straight,wide,1
20,6,D1A3,1,62,32,60,0,64,1,3,0,14,0,999,1,70,1,33,0,39,1,3,0,58,0,999,0,999,1,70,1,999,0,82,0,999,neutral,96,male,999,0,999,0,11,0,999,0,999,0,88,0,92,0,9,0,57,1,28,0,48,-9.82,0,16,white,0,999,0,77,0,4,0,51,1,55,0,85,0,71,0,999,0,87,0,11,-6.43,1,79,extra small,999,999,999,999,fdfef6,23,999,999,63443b,53,382117,90,999,999,bf6d58,999,low,extra low,extra thin,extra low,average,extra low,round,0,none,brown,90,1,average,none,average,short,rect,average,extra low,average,extra small,extra straight,extra wide,0
21,GT,D1A3,1,78,24,60,0,57,1,21,0,52,0,999,0,27,1,61,0,60,0,22,0,96,0,89,0,89,1,999,1,78,0,83,0,93,neutral,71,male,999,0,999,1,12,0,999,0,999,0,95,0,65,1,4,0,88,1,49,0,62,-9.41,0,14,white,0,999,0,80,80,17,0,84,1,76,0,82,0,77,0,999,0,86,0,18,0.97,1,68,extra small,999,999,999,999,fcfdf5,27,999,999,4d2e26,46,4a3324,89,999,999,ce8f6b,999,average,average,extra thin,low,average,average,extra round,0,none,brown light,89,1,short,none,thin,short,extra rect,average,average,average,extra small,extra straight,narrow,0
22,1,D1A4,1,4,38,60,0,30,0,73,1,54,1,33,0,999,1,27,1,16,1,70,1,64,0,999,0,60,0,999,1,53,1,62,1,38,smile,63,male,94,0,999,1,3,0,52,0,999,1,78,0,92,1,12,0,46,1,77,0,999,-9.63,0,96,white,1,75,0,90,0,27,0,28,0,999,0,42,0,47,0,999,0,92,1,29,4.53,1,5,small,634a3c,91,999,999,6c4935,15,999,999,352a29,94,463731,43,5f342a,82,a16454,999,low,extra low,extra thin,average,close,high,extra round,0,thick,brown,43,0,none,thick,very thin,very short,extra rect,extra narrow,average,thin,small,extra straight,extra wide,0
23,2,D1A4,0,24,38,60,0,97,0,61,0,1,0,59,0,999,0,60,0,73,0,17,1,80,0,98,0,27,0,79,0,8,1,4,0,34,neutral,93,male,89,0,999,0,97,0,68,0,86,0,61,0,83,0,64,0,48,1,40,0,77,-10.29,0,999,white,0,18,0,999,0,999,1,89,0,999,0,87,0,82,0,93,0,999,1,43,-2.15,1,13,extra large,999,999,999,999,fdfef6,27,999,999,45352c,89,352a21,92,999,999,a1694c,999,low,low,extra thin,extra low,close,average,round,0,none,brown,92,0,none,none,very thin,short,extra rect,narrow,extra low,extra thin,small,extra straight,wide,0
24,3,D1A4,1,24,38,60,0,99,0,72,1,11,0,20,0,94,0,9,0,58,0,7,0,62,0,85,0,69,1,6,0,41,0,21,0,48,neutral,999,male,99,0,999,0,55,0,36,0,999,0,74,0,80,0,46,0,999,1,38,0,69,-10.35,0,85,white,1,19,0,98,0,63,1,25,0,999,0,71,0,79,0,999,0,999,1,17,-1.85,1,4,extra large,999,999,999,999,fef7f1,40,999,999,362820,80,54483a,68,999,999,9b6749,999,average,extra high,extra thin,low,average,extra high,extra round,0,none,blond,68,0,none,none,very thin,short,extra rect,extra narrow,extra low,average,extra small,extra straight,extra wide,0
25,4,D1A4,1,15,43,60,0,58,0,74,0,4,0,11,0,89,1,22,0,12,1,27,1,86,0,999,0,55,0,999,1,4,1,16,0,18,neutral,80,male,999,0,999,0,16,0,68,0,92,0,53,0,83,0,2,0,999,1,54,0,80,-8.99,0,92,white,1,35,0,97,0,38,1,21,0,999,0,68,0,76,0,95,0,96,1,26,5.54,1,7,extra large,999,999,999,999,592e1e,5,999,999,523f35,91,392925,60,999,999,996447,999,average,extra high,extra thin,average,average,extra high,average,0,none,brown,60,0,none,none,very thin,short,rect,extra narrow,average,average,small,extra straight,wide,0
26,5,D1A4,1,59,28,60,0,46,0,9,1,72,0,43,0,95,1,74,0,5,1,70,1,999,0,999,0,69,0,999,1,40,1,18,1,21,smile,999,male,94,0,999,1,36,0,78,0,93,1,69,0,26,1,41,0,0,1,28,0,91,-8.72,0,53,white,0,10,0,82,1,29,1,18,0,73,0,82,0,83,0,93,0,91,1,39,-9.79,0,3,extra small,7a5644,63,999,999,999,999,999,999,62433b,57,594133,22,999,999,ba6d4d,999,average,high,extra thin,average,extra far,extra low,average,0,thick,brown light,22,0,none,none,very thin,short,heart,narrow,extra raised,average,small,extra straight,extra wide,0
27,6,D1A4,0,14,44,60,0,45,0,86,1,27,1,2,0,999,0,15,0,26,1,37,1,71,0,999,0,61,0,999,1,85,1,58,1,21,neutral,52,male,999,0,999,0,46,0,42,0,93,0,23,0,999,0,8,0,29,1,49,0,89,-9.41,0,999,white,1,23,0,999,0,69,1,30,0,999,0,69,0,46,0,999,0,999,0,61,2.59,0,7,extra large,999,999,999,999,fefbf6,29,999,999,48362f,94,33322e,95,999,999,96594d,999,low,average,extra thin,extra low,average,high,thin,0,none,black,95,0,none,none,very thin,very short,extra rect,average,extra low,extra thin,small,extra straight,extra narrow,0
